"state_name","county_name","date","positive_pct","transmission_level"
"Illinois","Washington County",2022-03-09,2.04,"moderate"
"Kansas","Wyandotte County",2022-03-09,4.34,"substantial"
"Michigan","Benzie County",2022-03-09,3.12,"moderate"
"Minnesota","Olmsted County",2022-03-09,6.37,"high"
"Michigan","Oceana County",2022-03-09,9.4,"high"
"Illinois","Clark County",2022-03-09,3.64,"high"
"Missouri","Wayne County",2022-03-09,3.23,"moderate"
"Illinois","Lake County",2022-03-09,1.52,"substantial"
"Nebraska","Otoe County",2022-03-09,16.28,"high"
"Ohio","Allen County",2022-03-09,4.42,"moderate"
"Illinois","Jackson County",2022-03-09,2.45,"substantial"
"Kansas","Wichita County",2022-03-09,3.6294571536429,"low"
"Ohio","Putnam County",2022-03-09,7.55,"moderate"
"Nebraska","Wheeler County",2022-03-09,3.6294571536429,""
"Illinois","Franklin County",2022-03-09,2.35,"moderate"
"Ohio","Henry County",2022-03-09,1.36,"moderate"
"Michigan","Manistee County",2022-03-09,4.71,"moderate"
"Wisconsin","Monroe County",2022-03-09,4.21,"substantial"
"Wisconsin","Vernon County",2022-03-09,5.06,"substantial"
"Kansas","Republic County",2022-03-09,1.69,"moderate"
"Indiana","Clay County",2022-03-09,6.43,"moderate"
"Minnesota","Washington County",2022-03-09,3.4,"substantial"
"Michigan","Antrim County",2022-03-09,5.88,"substantial"
"Minnesota","Winona County",2022-03-09,5.59,"high"
"Missouri","Perry County",2022-03-09,2.51,"high"
"Minnesota","Grant County",2022-03-09,4.71,"high"
"Ohio","Auglaize County",2022-03-09,5.6,"moderate"
"Michigan","St. Clair County",2022-03-09,4.3,"substantial"
"Minnesota","Ramsey County",2022-03-09,3.15,"substantial"
"Minnesota","Dakota County",2022-03-09,3.87,"high"
"Ohio","Hardin County",2022-03-09,4.21,"moderate"
"Ohio","Champaign County",2022-03-09,6.17,"substantial"
"Indiana","Blackford County",2022-03-09,3.05,"substantial"
"Indiana","Delaware County",2022-03-09,5.18,"substantial"
"Michigan","Jackson County",2022-03-09,3.81,"moderate"
"Nebraska","Garfield County",2022-03-09,3.6294571536429,""
"Nebraska","Jefferson County",2022-03-09,0,"low"
"Nebraska","Johnson County",2022-03-09,3.6294571536429,"low"
"Ohio","Clark County",2022-03-09,3.3,"moderate"
"Michigan","Mason County",2022-03-09,9.09,"substantial"
"Illinois","Union County",2022-03-09,1.41,"moderate"
"Ohio","Mercer County",2022-03-09,4.67,"moderate"
"Missouri","Ripley County",2022-03-09,1.91,"moderate"
"Indiana","Clark County",2022-03-09,5.69,"substantial"
"Illinois","Williamson County",2022-03-09,2.22,"substantial"
"Ohio","Fayette County",2022-03-09,1.12,"moderate"
"Nebraska","Custer County",2022-03-09,3.6294571536429,"high"
"Kansas","Wallace County",2022-03-09,3.6294571536429,"low"
"Michigan","Branch County",2022-03-09,3.25,"substantial"
"Illinois","Alexander County",2022-03-09,1.64,"moderate"
"Kansas","Greenwood County",2022-03-09,7.14,"high"
"Kansas","Marion County",2022-03-09,1.35,"moderate"
"Kansas","Leavenworth County",2022-03-09,5.48,"substantial"
"Kansas","Cowley County",2022-03-09,1.11,"substantial"
"Indiana","Madison County",2022-03-09,2.85,"moderate"
"Kansas","Harvey County",2022-03-09,4.26,"high"
"Michigan","Hillsdale County",2022-03-09,4.19,"moderate"
"Ohio","Clinton County",2022-03-09,3.88,"moderate"
"Indiana","Randolph County",2022-03-09,3.39,"moderate"
"Illinois","Pulaski County",2022-03-09,1.65,"substantial"
"Indiana","Parke County",2022-03-09,0.88,"moderate"
"Wisconsin","Trempealeau County",2022-03-09,3.41,"substantial"
"Michigan","Grand Traverse County",2022-03-09,6.5,"substantial"
"Nebraska","Lancaster County",2022-03-09,4.13,"low"
"Nebraska","Butler County",2022-03-09,0,"low"
"Nebraska","Valley County",2022-03-09,3.6294571536429,"low"
"Kansas","Sherman County",2022-03-09,0,"moderate"
"Michigan","Sanilac County",2022-03-09,4.68,"moderate"
"Ohio","Williams County",2022-03-09,2.47,"moderate"
"Kansas","Chase County",2022-03-09,0,"low"
"Indiana","Sullivan County",2022-03-09,2.25,"moderate"
"Ohio","Pickaway County",2022-03-09,2.33,"substantial"
"Minnesota","Otter Tail County",2022-03-09,4.14,"high"
"Kansas","Greeley County",2022-03-09,3.6294571536429,"low"
"Ohio","Jefferson County",2022-03-09,5.79,"substantial"
"Ohio","Highland County",2022-03-09,10.74,"high"
"Minnesota","Dodge County",2022-03-09,4.94,"high"
"Minnesota","Houston County",2022-03-09,4.51,"high"
"Indiana","Lawrence County",2022-03-09,3.44,"moderate"
"Minnesota","Fillmore County",2022-03-09,3.31,"high"
"Nebraska","Seward County",2022-03-09,8.33,"substantial"
"Kansas","Butler County",2022-03-09,1.47,"high"
"Illinois","Marion County",2022-03-09,1.44,"moderate"
"Missouri","Stoddard County",2022-03-09,1.46,"moderate"
"Michigan","Leelanau County",2022-03-09,4.08,"moderate"
"Nebraska","Saline County",2022-03-09,4.55,"low"
"Ohio","Columbiana County",2022-03-09,2.37,"moderate"
"Missouri","Butler County",2022-03-09,1.37,"moderate"
"Indiana","Orange County",2022-03-09,2.27,"moderate"
"Michigan","Newaygo County",2022-03-09,5.99,"moderate"
"Ohio","Harrison County",2022-03-09,3.88,"moderate"
"Indiana","Scott County",2022-03-09,9.16,"substantial"
"Nebraska","Thomas County",2022-03-09,3.6294571536429,""
"Minnesota","Wabasha County",2022-03-09,3.17,"high"
"Illinois","DuPage County",2022-03-09,1.72,"substantial"
"Indiana","Vigo County",2022-03-09,4.65,"moderate"
"Missouri","Bollinger County",2022-03-09,0,"high"
"Kansas","Thomas County",2022-03-09,3.33,"moderate"
"Missouri","Carter County",2022-03-09,6.9,"substantial"
"Kansas","Mitchell County",2022-03-09,1.72,"moderate"
"Kansas","Coffey County",2022-03-09,6.38,"high"
"Michigan","Ottawa County",2022-03-09,5.15,"moderate"
"Minnesota","Steele County",2022-03-09,2.31,"moderate"
"Missouri","Cape Girardeau County",2022-03-09,4.5,"high"
"Illinois","McHenry County",2022-03-09,2.29,"substantial"
"Wisconsin","La Crosse County",2022-03-09,6.13,"high"
"Nebraska","Loup County",2022-03-09,3.6294571536429,""
"Kansas","Jewell County",2022-03-09,0,"substantial"
"Indiana","Vermillion County",2022-03-09,9.23,"substantial"
"Wisconsin","Crawford County",2022-03-09,2.5,"moderate"
"Ohio","Paulding County",2022-03-09,5.22,"moderate"
"Missouri","Mississippi County",2022-03-09,2.78,"high"
"Nebraska","Logan County",2022-03-09,3.6294571536429,""
"Ohio","Franklin County",2022-03-09,2.41,"moderate"
"Ohio","Defiance County",2022-03-09,1.73,"substantial"
"Missouri","Scott County",2022-03-09,5.36,"high"
"Ohio","Medina County",2022-03-09,2.55,"moderate"
"Missouri","Jasper County",2022-03-09,5.05,"moderate"
"Michigan","Charlevoix County",2022-03-09,1.28,"moderate"
"Illinois","LaSalle County",2022-03-09,1.69,"substantial"
"Minnesota","Traverse County",2022-03-09,0,"substantial"
"Ohio","Clermont County",2022-03-09,3.34,"moderate"
"Illinois","Crawford County",2022-03-09,1.24,"substantial"
"Wisconsin","Waupaca County",2022-03-09,1.4,"moderate"
"Nebraska","Greeley County",2022-03-09,3.6294571536429,"low"
"Nebraska","Hall County",2022-03-09,5.95,"moderate"
"Michigan","Mecosta County",2022-03-09,5.54,"substantial"
"Kansas","Pottawatomie County",2022-03-09,10.2,"high"
"Minnesota","Big Stone County",2022-03-09,3.85,"substantial"
"North Dakota","Stark County",2022-03-09,3.76,"substantial"
"Wisconsin","Outagamie County",2022-03-09,2.94,"moderate"
"Ohio","Summit County",2022-03-09,2.3,"moderate"
"Kansas","Dickinson County",2022-03-09,1.46,"moderate"
"Illinois","Morgan County",2022-03-09,0.89,"substantial"
"Minnesota","Renville County",2022-03-09,4.91,"substantial"
"Michigan","Ionia County",2022-03-09,7.14,"substantial"
"Wisconsin","Bayfield County",2022-03-09,4.44,"high"
"Illinois","Douglas County",2022-03-09,0.25,"moderate"
"Kansas","Decatur County",2022-03-09,3.6294571536429,"high"
"Nebraska","Red Willow County",2022-03-09,0,"low"
"Indiana","Greene County",2022-03-09,2.79,"moderate"
"Wisconsin","Racine County",2022-03-09,2.14,"moderate"
"Indiana","Pike County",2022-03-09,3,"moderate"
"Nebraska","Howard County",2022-03-09,0,"low"
"Wisconsin","Juneau County",2022-03-09,0.6,"moderate"
"Kansas","Riley County",2022-03-09,2.99,"low"
"Ohio","Mahoning County",2022-03-09,3,"moderate"
"Indiana","Brown County",2022-03-09,1.88,"moderate"
"Wisconsin","Ashland County",2022-03-09,2.87,"substantial"
"Wisconsin","Shawano County",2022-03-09,2.81,"moderate"
"North Dakota","Golden Valley County",2022-03-09,0,"substantial"
"Kansas","Linn County",2022-03-09,3.39,"moderate"
"Kansas","Jackson County",2022-03-09,3.1,"moderate"
"Wisconsin","Burnett County",2022-03-09,4,"substantial"
"Kansas","Shawnee County",2022-03-09,2.92,"substantial"
"Ohio","Brown County",2022-03-09,6.67,"moderate"
"Kansas","Nemaha County",2022-03-09,4.18,"moderate"
"Michigan","Montcalm County",2022-03-09,4.85,"substantial"
"Illinois","Lawrence County",2022-03-09,1.35,"low"
"Wisconsin","Kenosha County",2022-03-09,3.69,"substantial"
"Illinois","Putnam County",2022-03-09,1.03,"moderate"
"Ohio","Adams County",2022-03-09,2.87,"substantial"
"Ohio","Trumbull County",2022-03-09,3.99,"moderate"
"Indiana","Martin County",2022-03-09,6.9,"moderate"
"Kansas","Labette County",2022-03-09,4.55,"substantial"
"Wisconsin","Adams County",2022-03-09,1.75,"substantial"
"South Dakota","Roberts County",2022-03-09,3.12,"low"
"Indiana","Franklin County",2022-03-09,4.92,"moderate"
"Illinois","Knox County",2022-03-09,1.02,"moderate"
"Indiana","Owen County",2022-03-09,2.84,"moderate"
"Missouri","Monroe County",2022-03-09,7.69,"substantial"
"Kansas","Stevens County",2022-03-09,0,"substantial"
"Illinois","Cumberland County",2022-03-09,1.59,"low"
"Indiana","Daviess County",2022-03-09,2.62,"moderate"
"Kansas","Crawford County",2022-03-09,3.85,"substantial"
"Ohio","Butler County",2022-03-09,3.69,"high"
"Indiana","Starke County",2022-03-09,5.05,"substantial"
"Ohio","Portage County",2022-03-09,2.09,"substantial"
"Illinois","Livingston County",2022-03-09,0.75,"substantial"
"Michigan","Emmet County",2022-03-09,3.04,"substantial"
"Missouri","Barton County",2022-03-09,5.41,"moderate"
"Minnesota","Redwood County",2022-03-09,0.39,"moderate"
"Kansas","Morris County",2022-03-09,1.64,"moderate"
"Missouri","McDonald County",2022-03-09,3.88,"high"
"Kansas","Jefferson County",2022-03-09,0.34,"moderate"
"Ohio","Warren County",2022-03-09,4.09,"substantial"
"Wisconsin","Price County",2022-03-09,0.83,"low"
"Missouri","Cedar County",2022-03-09,2.02,"moderate"
"Illinois","Coles County",2022-03-09,1.97,"substantial"
"Kansas","Brown County",2022-03-09,1.1,"substantial"
"Nebraska","Hitchcock County",2022-03-09,3.6294571536429,"low"
"Indiana","LaPorte County",2022-03-09,2.09,"moderate"
"Wisconsin","Jackson County",2022-03-09,3.54,"moderate"
"Kansas","Woodson County",2022-03-09,0,"moderate"
"Michigan","Mackinac County",2022-03-09,14.47,"high"
"Wisconsin","Menominee County",2022-03-09,2.35,"substantial"
"Illinois","Ford County",2022-03-09,0.68,"moderate"
"Michigan","Gratiot County",2022-03-09,3.87,"high"
"Indiana","Knox County",2022-03-09,6.32,"substantial"
"North Dakota","Foster County",2022-03-09,3.85,"high"
"Illinois","Jo Daviess County",2022-03-09,1.99,"substantial"
"Kansas","Bourbon County",2022-03-09,7.89,"moderate"
"Michigan","Chippewa County",2022-03-09,2.74,"substantial"
"Kansas","Sheridan County",2022-03-09,3.6294571536429,"low"
"North Dakota","Wells County",2022-03-09,3.6294571536429,"substantial"
"Kansas","Wabaunsee County",2022-03-09,6.06,"high"
"Illinois","Stephenson County",2022-03-09,1.58,"substantial"
"Missouri","St. Charles County",2022-03-09,3.43,"moderate"
"Nebraska","Hamilton County",2022-03-09,6.25,"moderate"
"North Dakota","Stutsman County",2022-03-09,3,"substantial"
"Kansas","Cherokee County",2022-03-09,3.85,"moderate"
"Kansas","Neosho County",2022-03-09,6.96,"substantial"
"Missouri","Lincoln County",2022-03-09,3.76,"moderate"
"Missouri","Audrain County",2022-03-09,3.64,"substantial"
"Wisconsin","Langlade County",2022-03-09,1.87,"moderate"
"Minnesota","Brown County",2022-03-09,3.36,"substantial"
"Michigan","Kent County",2022-03-09,5.34,"moderate"
"Kansas","Allen County",2022-03-09,1.67,"substantial"
"Michigan","Cheboygan County",2022-03-09,4.29,"substantial"
"Illinois","Greene County",2022-03-09,0.95,"moderate"
"North Dakota","Dunn County",2022-03-09,5,"moderate"
"Indiana","Dubois County",2022-03-09,4.91,"moderate"
"Wisconsin","Washburn County",2022-03-09,5.6,"substantial"
"Nebraska","Merrick County",2022-03-09,5.26,"moderate"
"Indiana","Monroe County",2022-03-09,2.81,"moderate"
"Missouri","Vernon County",2022-03-09,4.88,"substantial"
"Missouri","Montgomery County",2022-03-09,0.88,"moderate"
"Illinois","Warren County",2022-03-09,0.55,"low"
"Missouri","Warren County",2022-03-09,2.68,"substantial"
"North Dakota","Billings County",2022-03-09,3.6294571536429,"low"
"Illinois","Champaign County",2022-03-09,0.97,"substantial"
"Missouri","Newton County",2022-03-09,2.88,"moderate"
"Illinois","Bureau County",2022-03-09,1.94,"substantial"
"Ohio","Hamilton County",2022-03-09,2.75,"moderate"
"Kansas","Geary County",2022-03-09,2.7,"substantial"
"Kansas","Osage County",2022-03-09,0.8,"low"
"Illinois","Scott County",2022-03-09,0,"low"
"Wisconsin","Sawyer County",2022-03-09,4.88,"substantial"
"Missouri","Howard County",2022-03-09,2.78,"moderate"
"Ohio","Knox County",2022-03-09,3.17,"moderate"
"South Dakota","Hutchinson County",2022-03-09,1.96,"moderate"
"South Dakota","Custer County",2022-03-09,0,"moderate"
"Kansas","Smith County",2022-03-09,3.6294571536429,"high"
"Indiana","Union County",2022-03-09,0,"substantial"
"South Dakota","Aurora County",2022-03-09,0,"substantial"
"South Dakota","McCook County",2022-03-09,0,"moderate"
"Nebraska","Madison County",2022-03-09,2.78,"low"
"Nebraska","Cedar County",2022-03-09,3.6294571536429,"high"
"Indiana","Hancock County",2022-03-09,2.23,"moderate"
"Minnesota","Rock County",2022-03-09,1.18,"moderate"
"Nebraska","Wayne County",2022-03-09,12.9,"high"
"Indiana","Newton County",2022-03-09,4.44,"substantial"
"Ohio","Muskingum County",2022-03-09,4.27,"substantial"
"South Dakota","Todd County",2022-03-09,0,"high"
"Minnesota","Polk County",2022-03-09,1.84,"substantial"
"Nebraska","Dawson County",2022-03-09,6.25,"moderate"
"Indiana","Hendricks County",2022-03-09,2.73,"moderate"
"Indiana","Miami County",2022-03-09,1.68,"moderate"
"Missouri","Iron County",2022-03-09,2.02,"moderate"
"Missouri","Adair County",2022-03-09,2.48,"substantial"
"South Dakota","Corson County",2022-03-09,3.23,"moderate"
"Missouri","Buchanan County",2022-03-09,5.95,"high"
"Missouri","Washington County",2022-03-09,2.96,"substantial"
"Indiana","Henry County",2022-03-09,2.95,"substantial"
"Minnesota","Kandiyohi County",2022-03-09,1.62,"moderate"
"South Dakota","Buffalo County",2022-03-09,3.6294571536429,"low"
"Ohio","Perry County",2022-03-09,5.2,"substantial"
"South Dakota","Lake County",2022-03-09,0,"moderate"
"Nebraska","Gosper County",2022-03-09,3.6294571536429,"high"
"Ohio","Lawrence County",2022-03-09,18.67,"high"
"Missouri","Worth County",2022-03-09,13.79,"high"
"Minnesota","Yellow Medicine County",2022-03-09,2.34,"high"
"Michigan","Roscommon County",2022-03-09,6.47,"moderate"
"Minnesota","McLeod County",2022-03-09,3.47,"substantial"
"Minnesota","Wright County",2022-03-09,3.12,"substantial"
"Minnesota","Pipestone County",2022-03-09,3.33,"moderate"
"Missouri","Sullivan County",2022-03-09,1.89,"moderate"
"Ohio","Noble County",2022-03-09,9.89,"substantial"
"Indiana","Montgomery County",2022-03-09,5.01,"moderate"
"South Dakota","Lyman County",2022-03-09,0,"low"
"Indiana","Howard County",2022-03-09,3.39,"moderate"
"Minnesota","Scott County",2022-03-09,2.81,"substantial"
"South Dakota","Gregory County",2022-03-09,5,"moderate"
"South Dakota","Sanborn County",2022-03-09,3.6294571536429,"low"
"Missouri","Scotland County",2022-03-09,5,"moderate"
"Wisconsin","Kewaunee County",2022-03-09,2.08,"low"
"North Dakota","Walsh County",2022-03-09,10.48,"high"
"South Dakota","Hyde County",2022-03-09,3.6294571536429,"low"
"South Dakota","Miner County",2022-03-09,3.6294571536429,"high"
"South Dakota","Butte County",2022-03-09,4.08,"moderate"
"Nebraska","Kearney County",2022-03-09,3.6294571536429,"low"
"Wisconsin","Brown County",2022-03-09,2.14,"moderate"
"Illinois","Wayne County",2022-03-09,4.1,"substantial"
"Indiana","Putnam County",2022-03-09,12.29,"high"
"Missouri","Cass County",2022-03-09,2.33,"substantial"
"Missouri","Johnson County",2022-03-09,4.92,"high"
"Kansas","Grant County",2022-03-09,0,"moderate"
"Nebraska","Cherry County",2022-03-09,3.6294571536429,"high"
"Michigan","Crawford County",2022-03-09,7.89,"substantial"
"Wisconsin","Dane County",2022-03-09,3.82,"substantial"
"Missouri","Platte County",2022-03-09,2.48,"moderate"
"South Dakota","Fall River County",2022-03-09,7.02,"moderate"
"Indiana","Tippecanoe County",2022-03-09,3.5,"moderate"
"Wisconsin","Sauk County",2022-03-09,3.31,"low"
"Indiana","Wayne County",2022-03-09,3.15,"moderate"
"Kansas","Doniphan County",2022-03-09,2.82,"moderate"
"Missouri","Boone County",2022-03-09,4,"moderate"
"Nebraska","Pierce County",2022-03-09,0,"low"
"Indiana","Marion County",2022-03-09,2.16,"substantial"
"Minnesota","Wadena County",2022-03-09,3.12,"substantial"
"Indiana","Shelby County",2022-03-09,2.58,"moderate"
"Missouri","Daviess County",2022-03-09,8.93,"high"
"North Dakota","Nelson County",2022-03-09,2.13,"substantial"
"Wisconsin","Columbia County",2022-03-09,2.91,"substantial"
"Ohio","Guernsey County",2022-03-09,4.62,"substantial"
"South Dakota","Charles Mix County",2022-03-09,9.64,"substantial"
"Nebraska","Buffalo County",2022-03-09,8.11,"substantial"
"South Dakota","Lincoln County",2022-03-09,4.68,"moderate"
"Kansas","Stanton County",2022-03-09,3.6294571536429,"low"
"Nebraska","Sherman County",2022-03-09,3.6294571536429,"high"
"Ohio","Athens County",2022-03-09,3.12,"substantial"
"Missouri","St. Francois County",2022-03-09,7.74,"high"
"Indiana","Carroll County",2022-03-09,0.56,"moderate"
"Minnesota","Carver County",2022-03-09,4.72,"substantial"
"Indiana","Rush County",2022-03-09,4.26,"substantial"
"Nebraska","Boone County",2022-03-09,3.6294571536429,"low"
"Missouri","Atchison County",2022-03-09,17.95,"high"
"South Dakota","Union County",2022-03-09,20.59,"high"
"Indiana","Johnson County",2022-03-09,2.45,"moderate"
"Indiana","Porter County",2022-03-09,4.62,"substantial"
"Indiana","Morgan County",2022-03-09,4.56,"moderate"
"Missouri","Clay County",2022-03-09,3.83,"low"
"Missouri","Harrison County",2022-03-09,0,"moderate"
"Minnesota","Aitkin County",2022-03-09,3.6,"substantial"
"South Dakota","Potter County",2022-03-09,4,"high"
"Michigan","Shiawassee County",2022-03-09,6.5,"substantial"
"Missouri","Cooper County",2022-03-09,6.82,"moderate"
"South Dakota","Jackson County",2022-03-09,8,"substantial"
"South Dakota","Lawrence County",2022-03-09,5.95,"moderate"
"Minnesota","Lac qui Parle County",2022-03-09,1.09,"substantial"
"Michigan","Ingham County",2022-03-09,4.69,"substantial"
"Nebraska","Platte County",2022-03-09,6.25,"moderate"
"Ohio","Belmont County",2022-03-09,4.72,"substantial"
"Minnesota","Le Sueur County",2022-03-09,3.73,"substantial"
"Missouri","St. Louis City",2022-03-09,3.15,"substantial"
"Missouri","Jackson County",2022-03-09,3.61,"moderate"
"Minnesota","Crow Wing County",2022-03-09,5.6,"substantial"
"Illinois","Hamilton County",2022-03-09,1.82,"moderate"
"Missouri","Macon County",2022-03-09,4.84,"low"
"South Dakota","Bon Homme County",2022-03-09,0,"low"
"Indiana","Tipton County",2022-03-09,1.65,"moderate"
"Indiana","Grant County",2022-03-09,6,"moderate"
"Ohio","Fairfield County",2022-03-09,3.66,"moderate"
"Wisconsin","Richland County",2022-03-09,4.32,"substantial"
"Ohio","Monroe County",2022-03-09,8.75,"substantial"
"Kansas","Barber County",2022-03-09,22.22,"high"
"Ohio","Hocking County",2022-03-09,10.75,"high"
"Minnesota","Chippewa County",2022-03-09,2.43,"high"
"Missouri","Nodaway County",2022-03-09,4.35,"substantial"
"South Dakota","Davison County",2022-03-09,2.88,"moderate"
"Missouri","Randolph County",2022-03-09,4.51,"substantial"
"Minnesota","Sibley County",2022-03-09,2.21,"substantial"
"South Dakota","Turner County",2022-03-09,5.88,"moderate"
"South Dakota","Douglas County",2022-03-09,3.6294571536429,"high"
"Missouri","Andrew County",2022-03-09,0.54,"moderate"
"Ohio","Vinton County",2022-03-09,8.79,"substantial"
"Michigan","Eaton County",2022-03-09,7.56,"substantial"
"Ohio","Licking County",2022-03-09,2.79,"moderate"
"South Dakota","Meade County",2022-03-09,7.22,"moderate"
"Missouri","Knox County",2022-03-09,8.7,"substantial"
"Nebraska","Franklin County",2022-03-09,3.6294571536429,"low"
"Indiana","Clinton County",2022-03-09,3.03,"moderate"
"Missouri","Clinton County",2022-03-09,6.15,"high"
"Wisconsin","Oconto County",2022-03-09,1.85,"moderate"
"Missouri","Ray County",2022-03-09,4.19,"moderate"
"Minnesota","Swift County",2022-03-09,1.4,"substantial"
"Wisconsin","Door County",2022-03-09,2.16,"moderate"
"South Dakota","Clay County",2022-03-09,0,"moderate"
"Nebraska","Antelope County",2022-03-09,3.6294571536429,"high"
"Missouri","Gentry County",2022-03-09,10.74,"high"
"South Dakota","Beadle County",2022-03-09,6.67,"moderate"
"Minnesota","Martin County",2022-03-09,5.07,"high"
"Indiana","Fayette County",2022-03-09,5.41,"moderate"
"Minnesota","Anoka County",2022-03-09,2.53,"substantial"
"Indiana","Jasper County",2022-03-09,0.76,"substantial"
"South Dakota","Tripp County",2022-03-09,0,"low"
"South Dakota","Jerauld County",2022-03-09,3.6294571536429,"moderate"
"Kansas","Harper County",2022-03-09,0,"substantial"
"Nebraska","Kimball County",2022-03-09,3.6294571536429,"high"
"Missouri","Caldwell County",2022-03-09,4.92,"substantial"
"Missouri","Ste. Genevieve County",2022-03-09,0.58,"low"
"South Dakota","Minnehaha County",2022-03-09,3.62,"moderate"
"South Dakota","Moody County",2022-03-09,3.57,"low"
"North Dakota","Cavalier County",2022-03-09,4.55,"moderate"
"South Dakota","Hanson County",2022-03-09,3.6294571536429,"moderate"
"Missouri","Shelby County",2022-03-09,8.11,"substantial"
"Illinois","Macoupin County",2022-03-09,1.79,"substantial"
"Missouri","Oregon County",2022-03-09,1.75,"moderate"
"Nebraska","Boyd County",2022-03-09,3.6294571536429,"low"
"Missouri","Franklin County",2022-03-09,4.25,"moderate"
"South Dakota","Yankton County",2022-03-09,7.09,"substantial"
"Michigan","Clinton County",2022-03-09,6.76,"high"
"North Dakota","Grand Forks County",2022-03-09,5.97,"substantial"
"Indiana","Wabash County",2022-03-09,5.05,"moderate"
"Michigan","Otsego County",2022-03-09,8.47,"substantial"
"Minnesota","Hubbard County",2022-03-09,5.41,"high"
"Indiana","Lake County",2022-03-09,2.74,"moderate"
"Indiana","Cass County",2022-03-09,5.84,"high"
"Ohio","Coshocton County",2022-03-09,5.62,"substantial"
"Missouri","DeKalb County",2022-03-09,12.5,"high"
"Missouri","Schuyler County",2022-03-09,2.7,"substantial"
"Wisconsin","Iowa County",2022-03-09,3.01,"substantial"
"Minnesota","Hennepin County",2022-03-09,3.4,"substantial"
"South Dakota","Brookings County",2022-03-09,2.2,"moderate"
"Nebraska","Frontier County",2022-03-09,3.6294571536429,""
"Indiana","White County",2022-03-09,5.58,"high"
"Missouri","Howell County",2022-03-09,3.41,"substantial"
"Kansas","Norton County",2022-03-09,3.03,"substantial"
"Indiana","Benton County",2022-03-09,1.98,"moderate"
"Missouri","Jefferson County",2022-03-09,3.55,"substantial"
"Missouri","Holt County",2022-03-09,2.38,"high"
"Kansas","Phillips County",2022-03-09,0,"substantial"
"North Dakota","Pembina County",2022-03-09,15.62,"high"
"Minnesota","Cass County",2022-03-09,3.33,"high"
"South Dakota","Campbell County",2022-03-09,3.6294571536429,"low"
"Nebraska","Cheyenne County",2022-03-09,31.25,"high"
"South Dakota","Brule County",2022-03-09,0,"moderate"
"Nebraska","Nance County",2022-03-09,3.6294571536429,"low"
"South Dakota","Mellette County",2022-03-09,0,"moderate"
"Missouri","Lafayette County",2022-03-09,3.25,"high"
"Wisconsin","Grant County",2022-03-09,4.87,"substantial"
"South Dakota","Walworth County",2022-03-09,0,"substantial"
